26H0jinpdi0RSrZq90fNMF,You Need Me Now? (feat. Sabrina Carpenter),74KM79TiuVKeVCqs8QtB0B,2024-03-22,48,{pop}
7EisdwWcodpmHxgpGVE5Pg,fruitcake,74KM79TiuVKeVCqs8QtB0B,2023-11-17,61,{pop}
2kJnIPJHIRZlfOx0TZEKBP,Spotify Singles,74KM79TiuVKeVCqs8QtB0B,2023-10-18,55,{pop}
0TCgFAC92fkbHe2lJkwZRF,Feather (Sped Up),74KM79TiuVKeVCqs8QtB0B,2023-08-04,51,{pop}
0TN8dXBkeIqDjVfUV3gPpc,That’s Not How This Works (feat. Dan + Shay & Sabrina Carpenter) [Sabrina’s Version],74KM79TiuVKeVCqs8QtB0B,2023-04-14,59,{pop}
1jTN0ud3pW7ATr45S1CdpL,Nonsense (Remix),74KM79TiuVKeVCqs8QtB0B,2023-03-23,36,{pop}
2D2boDrCPl6idtxpJF6r38,A Nonsense Christmas,74KM79TiuVKeVCqs8QtB0B,2022-12-07,46,{pop}
23eBqMqUmcb1wcxuXfYw6k,Nonsense (Sped Up Version),74KM79TiuVKeVCqs8QtB0B,2022-11-14,54,{pop}
7p3M1cRTouWTpmBDhlEAKS,Vicious,74KM79TiuVKeVCqs8QtB0B,2022-07-01,43,{pop}
2rR0wpBcmvYpxQd77BWShd,Fast Times,74KM79TiuVKeVCqs8QtB0B,2022-02-18,41,{pop}
39dXXRroxeXJdEMGay4Zos,skinny dipping (Acoustic),74KM79TiuVKeVCqs8QtB0B,2021-11-05,29,{pop}
2NbUBAN5Mv7KAacJHOtC49,skinny dipping,74KM79TiuVKeVCqs8QtB0B,2021-09-09,37,{pop}
5kxJROPwGs1X92WrcMXkdt,Skin (Quarterhead Remix),74KM79TiuVKeVCqs8QtB0B,2021-02-26,27,{pop}
6JISV6SiJtQnIsNC6OVpUf,Skin,74KM79TiuVKeVCqs8QtB0B,2021-01-22,61,{pop}
6LGAFuDtpOFLOU2UhGGbg4,Clouds (with Sabrina Carpenter),74KM79TiuVKeVCqs8QtB0B,2020-10-09,38,{pop}
1RE0ZZJkxSZXdkNac4lcJD,WOW (feat. Sabrina Carpenter) [Remix],74KM79TiuVKeVCqs8QtB0B,2020-09-25,55,{pop}
3Ytt3q5EhvSCbvCTrVkz11,Let Me Move You (From the Netflix film Work It),74KM79TiuVKeVCqs8QtB0B,2020-07-24,52,{pop}
1Jur7yH65lqd3d4IH66uEf,Honeymoon Fades,74KM79TiuVKeVCqs8QtB0B,2020-02-14,51,{pop}
1ODOCRQWwjfJRqJ34RtrKa,On My Way (Da Tweekaz Remix),74KM79TiuVKeVCqs8QtB0B,2019-06-25,44,{pop}
1xbFduKsdGu9oRbhKH6puf,Sue Me (A Cappella),74KM79TiuVKeVCqs8QtB0B,2019-03-22,28,{pop}
1bcvtuHyO79DNAOOhHEkEm,On My Way,74KM79TiuVKeVCqs8QtB0B,2019-03-21,66,{pop}
6WZNqfmrunSLlgesOaPC5I,Sue Me (Remixes),74KM79TiuVKeVCqs8QtB0B,2019-01-18,34,{pop}
3lcQDXWOoIxMH8gEQzeETn,Almost Love (Stargate Warehouse Mix),74KM79TiuVKeVCqs8QtB0B,2018-09-28,23,{pop}
4AICAv06yCiu66i4TOPWgO,Almost Love,74KM79TiuVKeVCqs8QtB0B,2018-08-24,32,{pop}
1wLllFkWq0hxBsCJ8hmCUd,Almost Love (R3HAB Remix),74KM79TiuVKeVCqs8QtB0B,2018-07-13,24,{pop}
6lA3p7IHcwFXjdy08QkGWS,Alien (Acoustic),74KM79TiuVKeVCqs8QtB0B,2018-05-11,26,{pop}
0960lqbJIkGdYJ97UGY9My,Alien (M-22 Remix),74KM79TiuVKeVCqs8QtB0B,2018-04-13,23,{pop}
4mswsu3o2Bt2vYkXK9nKtC,Alien (Dark Heart Remix),74KM79TiuVKeVCqs8QtB0B,2018-04-13,21,{pop}
3LXVxMUrioKZcoheV2zT3u,Alien,74KM79TiuVKeVCqs8QtB0B,2018-03-16,50,{pop}
0PRCtct3H4TvrHdVBhKKxc,First Love (Remixes),74KM79TiuVKeVCqs8QtB0B,2017-12-01,28,{pop}
3oAvhwkc4AwieC8QHaEgVi,Why (Acoustic),74KM79TiuVKeVCqs8QtB0B,2017-11-03,28,{pop}
78ghmfG83tQUF43coZ6FiH,Have Yourself a Merry Little Christmas,74KM79TiuVKeVCqs8QtB0B,2017-10-27,25,{pop}
7syMmofF2t1xI0RFCtrSG9,First Love,74KM79TiuVKeVCqs8QtB0B,2017-10-13,38,{pop}
55QjSqhCofvsx559gCIMI7,Why,74KM79TiuVKeVCqs8QtB0B,2017-07-07,57,{pop}
3ztD4sCnTmP4ntaIoAJTwC,Sign of the Times,74KM79TiuVKeVCqs8QtB0B,2017-06-02,35,{pop}
2q3ZRR1ucbsr9XMcewLrU8,Thumbs (Acoustic),74KM79TiuVKeVCqs8QtB0B,2017-04-21,27,{pop}
3Es44cvPertgyqLdX7Shob,A Dream Is a Wish Your Heart Makes/So This Is Love,74KM79TiuVKeVCqs8QtB0B,2016-08-26,36,{pop}
6BNXa8shuN3ANF4P0J2ElP,Smoke and Fire,74KM79TiuVKeVCqs8QtB0B,2016-02-19,42,{pop}
637asSTw4aLXrTD4ZLHSMV,Christmas the Whole Year Round,74KM79TiuVKeVCqs8QtB0B,2015-01-01,34,{pop}
3cfTPG7l0IBjJh7MVBqNdx,"Stand Out (From ""How to Build a Better Boy"")",74KM79TiuVKeVCqs8QtB0B,2014-08-12,24,{pop}
2gfzrQkA6WzsX13kOhf3wU,"Take On the World - Theme Song From ""Girl Meets World""",74KM79TiuVKeVCqs8QtB0B,2014-01-01,46,{pop}
7mLfPG1jF81sZHksUSi4sD,Take On the World - From “Girl Meets World”/Summer Remix,74KM79TiuVKeVCqs8QtB0B,2014-01-01,27,{pop}
43yrS2rNyP9LGthAloWLZM,Silver Nights,74KM79TiuVKeVCqs8QtB0B,2014-01-01,26,{pop}
0Ixya7yaDdNFbLpOCyEdvT,I'll Be Home For Christmas,74KM79TiuVKeVCqs8QtB0B,2012-12-19,20,{pop}
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,7GlBOeep6PqTfFi59PTUUN,2023-09-22,95,{indie pop}
1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",7GlBOeep6PqTfFi59PTUUN,2024-04-05,89,{indie pop}
1w3Hfg4S2fqafTw9FQNzMu,HOT TO GO!,7GlBOeep6PqTfFi59PTUUN,2023-08-11,48,{indie pop}
4FAby8ROZDZhSoOvsFBGIn,Red Wine Supernova,7GlBOeep6PqTfFi59PTUUN,2023-05-17,48,{indie pop}
7Gw4m9PhmzpBp3MjKa6V4d,Kaleidoscope,7GlBOeep6PqTfFi59PTUUN,2023-03-31,41,{indie pop}
0OLxztpxYJ9BAOPzGkD0Wf,Casual,7GlBOeep6PqTfFi59PTUUN,2022-10-28,50,{indie pop}
